Index,Original Comment,True Label,Predicted Label
2,democratic congressman protests trump is environmental policies by bringing endangered red wolf to state of the union as guest,1,0
7,my worst audition ever or the danger of playing paddle ball chewing gum and singing we built this city simultaneously,0,1
10,air india now offers business caste seating,1,0
15,peak inequality investigating the lack of diversity among tv directors,0,1
17,sun thinking of just collapsing now and getting this all over with,1,0
29,list of politically achievable reforms down to just three minor changes to traffic code,1,0
30,supreme court upholds bill of rights in decision,1,0
51,first place cops looked was inside at at,1,0
52,young afghans returning from europe face isolation and fear back home,0,1
55,powerful his and hers towel lobby stalls gay marriage legislation,1,0
58,when hiring what problems should i avoid,0,1
64,draftkings and fanduel skip out on congressional hearing into daily fantasy sports,0,1
68,script could use another pass mom says,1,0
70,china is aircraft carrier enters south china sea amid renewed tensions,0,1
80,facebook reportedly beta testing wouldownvote button,0,1
94,controversial christian faction believes jesus was nailed to two parallel pieces of wood,1,0
114,stress can cancel out the benefits of healthy fat,0,1
116,biker injuries and deaths soar after michigan repeals helmet law,0,1
118,new preventative drug would kill people before they get alzheimer is,1,0
119,woman in coffee shop judges a record people,1,0
121,death results in great deal of paperwork,1,0
134,remainder of ross ice shelf now in smithsonian freezer,1,0
135,brazil is senate votes to remove president dilma rousseff from office,0,1
141,maxim skimmed,1,0
150,fda to screen all donated blood for the zika virus,0,1
169,dolphins chatter more when solving tricky tasks,0,1
174,hands off mom lets kids create own psychological issues,1,0
178,boston globe offers ispotlight fellowship to fund investigations,0,1
185,nation is gay straw men march on washington for right to marry animals,1,0
186,ambitious test on tap for real life flying saucer,0,1
188,lawyers identify dozens more bill cosby victims while interviewing potential jurors,1,0
189,alton sterling protesters remind you what america keeps forgetting,0,1
197,amotorcycle bomb explodes near police station in istanbul,0,1
203,amazon pulls racist islavery gets s t done products from website,0,1
208,netanyahu provides stunning new evidence that iranians planned sacking of babylon in b c,1,0
211,rhea maceris gps guide on feeling empowered,0,1
217,disgruntled bolton shoots un delegates self,1,0
221,netanyahu announces day of mourning for fence damaged in yesterday is conflict,1,0
223,restaurant fires pizza delivery dog,1,0
224,mystery toilet flusher turns out to be something pretty scary,0,1
226,running back is buttocks undulate hypnotically in sexuality challenging slow motion replay,1,0
228,biden hands out loose gt cola can to unexpected trick or treater,1,0
232,tollbooth attendant wishes just one high speed chase would crash through entry bar,1,0
235,terri schiavo is corpse blown away by hurricane,1,0
247,can the american idol winner end kelly clarkson is pop chart dominance,1,0
252,u s to give limestone based economy a shot starting next week,1,0
253,freddie prinze jr fan is favorite color also green,1,0
